# --------------------------------
#  ESTIMATOR metadata
#{}
# --------------------------------
#  PAGE metadata
#{
#    "detectorType": "5",
#    "detectorUnit": "MeV/g",
#    "dettyp": "DOSE",
#    "name": "DOSE",
#    "pageDiffUnits": "MeV/g",
#    "pageNormalized": "2",
#    "pageNumber": "2",
#    "pageOffset": "0.0",
#    "pageScaleFactor": "1.0",
#    "pageUnitIds": "[40 40 40]",
#    "unit": "MeV/g/prim"
#}
# --------------------------------
Position (X) [cm], DOSE [MeV/g/prim]
-1.5050000000000001, 0.010151505632998143
-1.495, 0.0120194855631352
-1.485, 0.01595829376238776
-1.475, 0.01409597871806789
-1.465, 0.01321794414435108
-1.455, 0.01650479567752592
-1.445, 0.016435467155300112
-1.435, 0.01839249469575292
-1.425, 0.01778714530959331
-1.415, 0.020565283409854977
-1.405, 0.01955821589139417
-1.395, 0.022915489812245383
-1.385, 0.02473970482101844
-1.375, 0.029678490361425107
-1.365, 0.03212231570996245
-1.355, 0.02952747772550013
-1.345, 0.028414722633154886
-1.3350000000000002, 0.03135698857800294
-1.3250000000000002, 0.03469099425221722
-1.3150000000000002, 0.039396927801504146
-1.3050000000000002, 0.04779578490481524
-1.2950000000000002, 0.050952057797348786
-1.2850000000000001, 0.05491045620831002
-1.2750000000000001, 0.05873055037700388
-1.2650000000000001, 0.07335832029385903
-1.2550000000000001, 0.081533777534099
-1.245, 0.09678032642995874
-1.235, 0.11473884912829498
-1.225, 0.12678639332642655
-1.215, 0.16128267617958492
-1.205, 0.18742814856821702
-1.195, 0.19272221397474548
-1.185, 0.2355801626045914
-1.175, 0.3209767442119518
-1.165, 0.36998183904717985
-1.155, 0.45880774231981575
-1.145, 0.5711114518071262
-1.135, 0.6266698147800527
-1.125, 0.761273996455712
-1.115, 0.859125809491936
-1.105, 0.997350606487778
-1.095, 1.1233589284915249
-1.0850000000000002, 1.2484461774154105
-1.0750000000000002, 1.4566370626399
-1.0650000000000002, 1.635440461871093
-1.0550000000000002, 1.8284756022341517
-1.0450000000000002, 1.9834050253384254
-1.0350000000000001, 2.2031888487928395
-1.0250000000000001, 2.357351459243465
-1.0150000000000001, 2.4730025553095323
-1.0050000000000001, 2.649361521144786
-0.9950000000000001, 2.8387077070262587
-0.9850000000000001, 2.8702987504506656
-0.9750000000000001, 3.0381766665858776
-0.9650000000000001, 3.0502385999948958
-0.9550000000000001, 3.1084573108321494
-0.9450000000000001, 3.3227120163367756
-0.935, 3.342686183629986
-0.925, 3.291804753684502
-0.915, 3.3814392927127765
-0.905, 3.284656552996305
-0.895, 3.3034081143730853
-0.885, 3.2151856687310914
-0.875, 3.2630237488495717
-0.865, 3.1717829334886467
-0.855, 3.1235623992068433
-0.845, 3.008310979585063
-0.835, 2.937620153472893
-0.8250000000000002, 2.909366912971449
-0.8150000000000002, 2.8514008919050875
-0.8050000000000002, 2.7266316558061194
-0.7950000000000002, 2.633138613388114
-0.7850000000000001, 2.6249599295235133
-0.7750000000000001, 2.631083620169222
-0.7650000000000001, 2.5547939111903752
-0.7550000000000001, 2.4483834689625303
-0.7450000000000001, 2.4117290503673914
-0.7350000000000001, 2.3309186709123404
-0.7250000000000001, 2.318678976894247
-0.7150000000000001, 2.256239889103204
-0.7050000000000001, 2.2601265703798403
