# --------------------------------
#  ESTIMATOR metadata
#{}
# --------------------------------
#  PAGE metadata
#{
#    "detectorType": "8",
#    "detectorUnit": "MeV",
#    "dettyp": "AVG-ENERGY",
#    "name": "AVG-ENERGY",
#    "pageDiffUnits": "MeV",
#    "pageFilterName": "Protons",
#    "pageNormalized": "3",
#    "pageNumber": "1",
#    "pageOffset": "0.0",
#    "pageScaleFactor": "1.0",
#    "pageUnitIds": "[70 70 70]",
#    "unit": "MeV"
#}
# --------------------------------
Position (X) [cm], AVG-ENERGY [MeV]
-1.995, 5.894099971738712
-1.985, 5.940039216780079
-1.975, 5.9614397693433805
-1.965, 5.837440459659746
-1.955, 5.8781392341559195
-1.945, 5.938345165394284
-1.935, 5.743102880535389
-1.925, 5.754938276701159
-1.915, 5.6640956451362054
-1.9050000000000002, 5.530186692131212
-1.895, 5.482055953977122
-1.8850000000000002, 5.401453477518231
-1.875, 5.427292910928274
-1.8650000000000002, 5.322210394320464
-1.855, 5.1688631593574925
-1.8450000000000002, 5.089225390406615
-1.835, 5.046878818012446
-1.8250000000000002, 4.992754983534819
-1.815, 4.892029969802109
-1.8050000000000002, 4.8069471012012785
-1.795, 5.006225113246744
-1.7850000000000001, 4.856997126780452
-1.7750000000000001, 4.438403317644425
-1.7650000000000001, 4.509886700517327
-1.7550000000000001, 4.930700676442428
-1.745, 4.745846429141304
-1.735, 4.603907381656137
-1.725, 4.05834733430766
-1.715, 4.714327007597508
-1.705, 4.772351437683829
-1.695, 4.916942716373403
-1.685, 8.661513426783431
-1.675, 7.491444034175644
-1.665, 8.039433872851628
-1.6550000000000002, 8.03266548178554
-1.645, 6.526084238990333
-1.6350000000000002, 6.603409443575452
-1.625, 6.882313934560291
-1.6150000000000002, 7.172889013622199
-1.605, 6.008627610841126
-1.5950000000000002, 6.054752790425747
-1.585, 4.839758449164132
-1.5750000000000002, 5.526444550275891
-1.565, 6.122065798290847
-1.5550000000000002, 6.536951906270539
-1.545, 6.661839402695207
-1.5350000000000001, 8.177304304770898
-1.5250000000000001, 7.935409048263243
-1.5150000000000001, 8.823997748148773
-1.5050000000000001, 8.923644648587327
-1.495, 7.830319311826993
-1.485, 7.851461896554106
-1.475, 8.666471105794963
-1.465, 9.215302729887226
-1.455, 8.547107876567848
-1.445, 8.841521400220063
-1.435, 8.785522316513308
-1.425, 8.601600525637421
-1.415, 9.263971732347525
-1.405, 9.71456394606946
-1.395, 9.563460060456919
-1.385, 9.222520434912806
-1.375, 8.860206725353054
-1.365, 8.975082176410185
-1.355, 9.638818061633966
-1.345, 9.718996584501623
-1.3350000000000002, 9.645385442321643
-1.3250000000000002, 9.765800876263373
-1.3150000000000002, 9.493391959311131
-1.3050000000000002, 9.446929948788952
-1.2950000000000002, 9.501976706681264
-1.2850000000000001, 9.202935730773007
-1.2750000000000001, 9.175058415763454
-1.2650000000000001, 8.788837698271903
-1.2550000000000001, 8.60302653900298
-1.245, 8.811695536774536
-1.235, 8.63704454173331
-1.225, 8.457190843510546
-1.215, 7.728297287842568
-1.205, 7.6139295044796595
-1.195, 7.72036179127762
-1.185, 7.326987654047216
-1.175, 7.1279523786931955
-1.165, 7.167348198431246
-1.155, 6.916372668218159
