# --------------------------------
#  ESTIMATOR metadata
#{}
# --------------------------------
#  PAGE metadata
#{
#    "detectorType": "2",
#    "detectorUnit": "/cm^2",
#    "dettyp": "FLUENCE",
#    "name": "FLUENCE",
#    "pageDiffUnits": "/cm^2",
#    "pageNormalized": "2",
#    "pageNumber": "0",
#    "pageOffset": "0.0",
#    "pageScaleFactor": "1.0",
#    "pageUnitIds": "[14 14 14]",
#    "unit": "/cm^2/prim"
#}
# --------------------------------
Position (X) [cm], FLUENCE [/cm^2/prim]
-0.125, 0.08022490859389572
-0.11500000000000021, 0.08050897801150492
-0.10499999999999998, 0.07956675290858996
-0.0950000000000002, 0.07895605168289017
-0.08499999999999996, 0.07837848777377097
-0.07500000000000018, 0.08060604266450176
-0.06499999999999995, 0.07797567403884674
-0.05500000000000016, 0.08057304624996808
-0.04499999999999993, 0.08055178245890471
-0.03500000000000014, 0.07827013899759275
-0.02499999999999991, 0.07929981830385802
-0.015000000000000124, 0.08085292464688776
-0.004999999999999893, 0.07945026257912331
0.004999999999999893, 0.07937788918765379
0.015000000000000124, 0.0800290946710794
0.02499999999999991, 0.07945499656342925
0.03500000000000014, 0.0799648407425995
0.04499999999999993, 0.08116989688519075
0.05500000000000016, 0.08054509516907822
0.06499999999999995, 0.07866987140951766
0.07499999999999973, 0.08068714558387147
0.08499999999999996, 0.07958262374137214
0.09499999999999975, 0.07942764050164089
0.10499999999999998, 0.0799436964775352
0.11499999999999977, 0.08047648208366365
0.125, 0.07850938915244507
0.1349999999999998, 0.08046646535894202
0.14500000000000002, 0.08171193839944516
0.1549999999999998, 0.0803311311843897
0.16500000000000004, 0.08030140226549014
0.17499999999999982, 0.08156576396060151
0.18500000000000005, 0.08131794633556534
0.19499999999999984, 0.08073417288341263
0.20500000000000007, 0.07921647852782779
0.21499999999999986, 0.07928957224086888
0.2250000000000001, 0.07976413566193744
0.23499999999999988, 0.07914665843741943
0.2450000000000001, 0.0799355541060224
0.2549999999999999, 0.08083595404818797
0.2650000000000001, 0.08125744440507054
0.2749999999999999, 0.08122227060697304
0.28500000000000014, 0.07974101454667623
0.29499999999999993, 0.07888423954814738
0.30500000000000016, 0.07953743735503573
0.31499999999999995, 0.0795840799493955
0.32499999999999973, 0.08136732268952848
0.33499999999999996, 0.07892110245508645
0.34499999999999975, 0.07833587369016967
0.355, 0.08034673983078243
0.36499999999999977, 0.07903733746231703
0.375, 0.0810623190075166
0.3849999999999998, 0.0822576737606413
0.395, 0.07965424579506838
0.4049999999999998, 0.08033009979189096
0.41500000000000004, 0.08078985781453198
0.4249999999999998, 0.08073000906764778
0.43500000000000005, 0.0801869605911396
0.44499999999999984, 0.07968755568011994
0.45500000000000007, 0.08049773973801976
0.46499999999999986, 0.08044845133923337
0.4750000000000001, 0.0798918882854567
0.4849999999999999, 0.0800982750001694
0.4950000000000001, 0.08085070955577302
0.5049999999999999, 0.0804379485437592
0.5150000000000001, 0.0796099766465385
0.5249999999999999, 0.08023461634882066
0.5350000000000001, 0.08077629184162367
0.5449999999999999, 0.08118731813465692
0.5550000000000002, 0.08168459493878687
0.565, 0.0813076607172966
0.5750000000000002, 0.08073171104207212
0.585, 0.08071256565662924
0.5949999999999998, 0.0807992820546173
0.605, 0.07978388927070591
0.6149999999999998, 0.07966639934748221
0.625, 0.08057577939605652
0.6349999999999998, 0.081388372472778
0.645, 0.08015718534789724
0.6549999999999998, 0.08106630569454486
0.665, 0.08003939359372879
0.6749999999999998, 0.08065915239694843
0.685, 0.07892997015452939
0.6949999999999998, 0.0818089790767783
0.7050000000000001, 0.07899150426539356
0.7149999999999999, 0.07938244090666847
0.7250000000000001, 0.08132757511274298
0.7349999999999999, 0.0833024996715855
0.7450000000000001, 0.08178161429889803
0.7549999999999999, 0.07930333619796097
0.7650000000000001, 0.08050935680087545
0.7749999999999999, 0.08012386969654436
0.7850000000000001, 0.08062054077887362
0.7949999999999999, 0.08049329449890476
0.8050000000000002, 0.0815899819441321
0.815, 0.08118912894211956
0.8250000000000002, 0.08097849397014607
0.835, 0.08051288911811395
0.8449999999999998, 0.08141221882737051
0.855, 0.07969853482809981
0.8649999999999998, 0.07969104999446006
0.875, 0.08095462725363402
0.8849999999999998, 0.08080349776820064
0.895, 0.08111562774055991
0.9049999999999998, 0.07982551754533448
0.915, 0.0810293814442767
0.9249999999999998, 0.08214562147963358
0.935, 0.08228187140580275
0.9449999999999998, 0.08297602032056646
0.9550000000000001, 0.07971145140890204
0.9649999999999999, 0.08082757133256428
0.9750000000000001, 0.08082535659844688
0.9849999999999999, 0.08186213463831764
0.9950000000000001, 0.08146481425743483
1.005, 0.08145955716657642
1.0150000000000001, 0.08042811730801007
1.025, 0.08115926780683769
1.0350000000000001, 0.08008940089912746
1.045, 0.07962551645914519
1.0550000000000002, 0.08003820579178327
1.065, 0.08203185046189569
1.0750000000000002, 0.07992486421254373
1.085, 0.08058733262997773
1.0949999999999998, 0.08089109407662483
1.105, 0.08078883285343634
1.1149999999999998, 0.0799220853321636
1.125, 0.08056192439300103
1.1349999999999998, 0.08023233508870621
1.145, 0.08095953338513327
1.1549999999999998, 0.08095649211748603
1.165, 0.08107666882461859
1.1749999999999998, 0.08303948651755744
1.185, 0.08050071422923492
1.1949999999999998, 0.08186087010444103
1.205, 0.08049462216064367
1.2149999999999999, 0.08037648883867256
1.225, 0.07987800098059042
1.2349999999999999, 0.08216197838371729
1.245, 0.080906461368132
1.255, 0.08242643451250332
1.2650000000000001, 0.07943755896126718
1.275, 0.08135456831355888
1.2850000000000001, 0.08097425453165182
1.295, 0.08091455461108989
1.3050000000000002, 0.08089007693857424
1.315, 0.08038035422261676
1.3250000000000002, 0.07918070818471798
1.335, 0.07929140903139174
