# --------------------------------
#  ESTIMATOR metadata
#{}
# --------------------------------
#  PAGE metadata
#{
#    "detectorType": "5",
#    "detectorUnit": "MeV/g",
#    "dettyp": "DOSE",
#    "name": "DOSE",
#    "pageDiffUnits": "MeV/g",
#    "pageNormalized": "2",
#    "pageNumber": "0",
#    "pageOffset": "0.0",
#    "pageScaleFactor": "1.0",
#    "pageUnitIds": "[40 40 40]",
#    "unit": "MeV/g/prim"
#}
# --------------------------------
Position (Z) [cm], DOSE [MeV/g/prim]
0.47400000000000003, 0.41554201891373943
0.47800000000000004, 0.41265752795052235
0.482, 0.41262286096786494
0.486, 0.41317590789651
0.49, 0.41445422949551075
0.494, 0.42168143232146726
0.498, 0.4234690593303221
0.502, 0.41917256283645105
0.506, 0.41432565333861315
0.51, 0.42000713313686683
0.514, 0.4172581454545173
0.518, 0.42242962611488094
0.522, 0.42084748404263467
0.526, 0.4219708049650155
0.53, 0.42661949038605923
0.534, 0.4276513133697175
0.538, 0.4262103737306909
0.542, 0.428076111718469
0.546, 0.4278008464924487
0.55, 0.42916542581620504
0.554, 0.4158948274810761
0.558, 0.41641228047623396
0.562, 0.4209922118420318
0.5660000000000001, 0.42067189714348674
0.5700000000000001, 0.4181889710573302
0.5740000000000001, 0.4172960244942451
0.5780000000000001, 0.4188821436230384
0.582, 0.4244567579226602
0.586, 0.41754202302174837
0.59, 0.42348278725440736
0.594, 0.4209300156306941
0.598, 0.4201007880961184
0.602, 0.41922349784979
0.606, 0.42532739198079156
0.61, 0.4216138214587444
0.614, 0.42435599919194505
0.618, 0.42593084270637116
0.622, 0.4310733856720029
0.626, 0.4241846397211912
0.63, 0.4238812826753475
0.634, 0.42750036270371033
0.638, 0.42418659314971313
0.642, 0.4268619603059326
0.646, 0.43076591449916285
0.65, 0.4272764796431948
0.654, 0.42741702728536457
0.658, 0.42898994575833804
0.662, 0.43770723660023786
0.666, 0.43464707887872167
0.67, 0.4343194349493908
0.674, 0.4330132409370364
0.678, 0.4344498827734643
0.682, 0.42739283642805853
0.686, 0.4316934306431857
0.6900000000000001, 0.43140934451717317
0.6940000000000001, 0.43270024851694366
0.6980000000000001, 0.42908188808628744
0.7020000000000001, 0.4300059841671653
0.706, 0.4332387613233234
0.71, 0.43941824225216297
0.714, 0.4335170327884808
0.718, 0.4351774115001058
0.722, 0.4316862949907437
0.726, 0.43295946777410105
0.73, 0.4388119833787341
0.734, 0.4390929081520888
0.738, 0.43388710928735397
0.742, 0.43086700985113363
0.746, 0.43576317926098124
0.75, 0.44043277623264765
0.754, 0.4346424784516485
0.758, 0.4393876279240611
0.762, 0.43905804490015143
0.766, 0.4362219048017996
0.77, 0.44345002510397585
0.774, 0.44115540509341206
0.778, 0.4431624091899812
0.782, 0.43856232638733483
0.786, 0.4374941293178229
0.79, 0.4410272946736911
0.794, 0.4362912917269066
0.798, 0.4358089971508904
0.802, 0.4393569162361468
0.806, 0.4391846506784945
0.81, 0.4403215367989217
0.8140000000000001, 0.4397642984763993
0.8180000000000001, 0.43838048868630786
0.8220000000000001, 0.4420443448917661
0.8260000000000001, 0.440503533168383
0.8300000000000001, 0.43776708878992515
0.8340000000000001, 0.438521884304264
0.838, 0.43992613617672865
0.842, 0.4478093367485272
0.846, 0.4472252930655067
0.85, 0.4449062978006476
0.854, 0.44479219007539045
0.858, 0.4399533159012032
0.862, 0.4425009633833843
0.866, 0.4408218056384073
0.87, 0.44177223751547195
0.874, 0.4443560972047591
0.878, 0.44785851715633446
0.882, 0.4416868986763671
0.886, 0.4450640694406406
0.89, 0.45340091275401995
0.894, 0.447860860454808
0.898, 0.4487645092010467
0.902, 0.44534895429738725
0.906, 0.44894611521698746
0.91, 0.4457082705725658
0.914, 0.4490034003804987
0.918, 0.4485639536418838
0.922, 0.45043904910364146
0.926, 0.45346171638697824
0.93, 0.45295022072037927
0.934, 0.44758941144730474
0.9380000000000001, 0.4487056959053825
0.9420000000000001, 0.44994679321257636
